1,Team,Game,Date,Home,Opponent,WINorLOSS,TeamPoints,OpponentPoints,FieldGoals,FieldGoalsAttempted,FieldGoals.,X3PointShots,X3PointShotsAttempted,X3PointShots.,FreeThrows,FreeThrowsAttempted,FreeThrows.,OffRebounds,TotalRebounds,Assists,Steals,Blocks,Turnovers,TotalFouls,Opp.FieldGoals,Opp.FieldGoalsAttempted,Opp.FieldGoals.,Opp.3PointShots,Opp.3PointShotsAttempted,Opp.3PointShots.,Opp.FreeThrows,Opp.FreeThrowsAttempted,Opp.FreeThrows.,Opp.OffRebounds,Opp.TotalRebounds,Opp.Assists,Opp.Steals,Opp.Blocks,Opp.Turnovers,Opp.TotalFouls
373,CHO,36,1/5/2015,Away,BOS,W,104,95,38,78,0.487,6,19,0.316,22,23,0.957,12,48,22,2,10,15,22,36,91,0.396,7,18,0.389,16,23,0.696,10,33,22,8,7,6,23
383,CHO,37,1/7/2015,Home,NOP,W,98,94,37,86,0.43,4,14,0.286,20,26,0.769,9,43,18,9,4,10,18,36,80,0.45,6,18,0.333,16,24,0.667,9,43,19,6,8,14,20
393,CHO,38,1/8/2015,Away,TOR,W,103,95,42,88,0.477,4,16,0.25,15,22,0.682,9,46,21,5,3,8,18,33,83,0.398,10,31,0.323,19,25,0.76,8,42,20,2,7,14,21
403,CHO,39,1/10/2015,Away,NYK,W,110,82,39,78,0.5,7,16,0.438,25,33,0.758,11,51,18,8,5,15,14,33,85,0.388,8,29,0.276,8,9,0.889,4,29,17,9,4,12,24
415,CHO,40,1/14/2015,Home,SAS,L,93,98,33,86,0.384,4,13,0.308,23,35,0.657,15,48,15,4,10,10,18,37,85,0.435,8,21,0.381,16,20,0.8,6,42,27,7,11,12,27
423,CHO,41,1/17/2015,Home,IND,W,80,71,31,101,0.307,2,15,0.133,16,25,0.64,14,58,16,7,5,7,16,30,84,0.357,2,21,0.095,9,13,0.692,7,56,18,5,10,19,23
433,CHO,42,1/19/2015,Home,MIN,W,105,80,40,89,0.449,12,22,0.545,13,19,0.684,10,47,27,8,3,10,20,29,80,0.363,6,19,0.316,16,20,0.8,10,42,16,7,6,16,20
443,CHO,43,1/21/2015,Home,MIA,W,78,76,27,80,0.338,4,19,0.211,20,30,0.667,20,56,19,3,8,14,16,29,84,0.345,5,18,0.278,13,15,0.867,10,41,14,7,8,7,22
453,CHO,44,1/23/2015,Away,CLE,L,90,129,36,89,0.404,2,16,0.125,16,24,0.667,12,42,27,6,5,11,22,46,89,0.517,15,28,0.536,22,28,0.786,11,56,29,7,5,11,19
463,CHO,45,1/24/2015,Home,NYK,W,76,71,25,76,0.329,2,7,0.286,24,37,0.649,10,41,9,7,13,9,19,28,79,0.354,6,15,0.4,9,18,0.5,14,54,20,4,6,14,28
473,CHO,46,1/28/2015,Away,SAS,L,86,95,34,83,0.41,6,18,0.333,12,14,0.857,8,43,23,7,4,12,17,35,83,0.422,10,29,0.345,15,18,0.833,10,49,23,7,8,14,14
483,CHO,47,1/31/2015,Away,DEN,W,104,86,44,93,0.473,0,11,0,16,25,0.64,10,57,32,10,11,10,18,33,92,0.359,5,24,0.208,15,20,0.75,8,44,21,2,8,12,19
493,CHO,48,2/2/2015,Away,WAS,W,92,88,37,79,0.468,4,15,0.267,14,19,0.737,6,42,21,6,3,11,18,33,81,0.407,6,15,0.4,16,19,0.842,10,43,19,7,3,12,23
503,CHO,49,2/5/2015,Home,WAS,W,94,87,33,76,0.434,6,25,0.24,22,27,0.815,12,50,15,5,15,14,19,35,84,0.417,5,10,0.5,12,17,0.706,9,37,20,2,5,12,26
515,CHO,50,2/7/2015,Away,PHI,L,81,89,29,84,0.345,6,23,0.261,17,20,0.85,5,43,24,9,5,12,20,29,74,0.392,9,23,0.391,22,30,0.733,5,47,19,6,5,15,22
523,CHO,51,2/8/2015,Home,IND,L,102,103,36,77,0.468,8,14,0.571,22,28,0.786,4,35,24,5,4,10,23,37,84,0.44,7,19,0.368,22,25,0.88,8,40,19,4,2,12,25
